Unnamed: 0,host id,host name,borough,lat,long,price,service fee,number of reviews,geometry
38633,26536354349,Marjolein,Manhattan,40.78384,-73.97696,90,18,1,POINT (-73.97696000000001 40.78384)
77127,96114729511,Brittany & Matt,Manhattan,40.8359,-73.93842,458,92,4,POINT (-73.93841999999999 40.8359)
28167,42131797028,Andy,Manhattan,40.78165,-73.9749,637,127,14,POINT (-73.97490000000001 40.78165)
5752,39861140671,Jenn,Brooklyn,40.67925,-73.97463,462,92,0,POINT (-73.97463 40.67925)
28024,55712159983,Camila,Brooklyn,40.6768,-73.95346,503,101,12,POINT (-73.95346000000001 40.6768)
78308,23817791935,Danielle,Manhattan,40.84353,-73.94201,1040,208,34,POINT (-73.94201 40.84353)
60086,37235716305,Jose,Brooklyn,40.69284,-73.91872,116,23,85,POINT (-73.91871999999999 40.69284)
59258,20599607781,Mathew,Brooklyn,40.71492,-73.94492,85,17,1,POINT (-73.94492 40.71492)
27361,9820672477,Merrily,Brooklyn,40.70443,-73.93039,987,197,71,POINT (-73.93039 40.70443)
45013,36743864918,Manhattan At Times Square,Manhattan,40.76267,-73.98557,1111,222,2,POINT (-73.98557 40.76267)
21332,33050078048,Aurora,Brooklyn,40.71819,-73.96532,79,16,16,POINT (-73.96532000000001 40.71819)
49953,17949343544,Jane,Brooklyn,40.69071,-73.95852,93,19,12,POINT (-73.95851999999999 40.69071)
