,host id,host name,borough,lat,long,price,service fee,number of reviews,geometry
172,80294758485,Eric,Bronx,40.83232,-73.93184,483.0,97.0,219.0,POINT (-73.93183999999999 40.83232)
208,30253075852,Vincent,Bronx,40.83075,-73.93058,538.0,108.0,138.0,POINT (-73.93058000000001 40.83075)
261,21787820811,Foster,Bronx,40.81309,-73.85514,643.0,129.0,0.0,POINT (-73.85514000000001 40.81309)
310,67156618342,Douglas,Bronx,40.87207,-73.90193,55.0,11.0,4.0,POINT (-73.90192999999999 40.87207)
434,10971876811,Darcy,Bronx,40.89747,-73.8639,811.0,162.0,197.0,POINT (-73.8639 40.89747)
485,4478636950,Evelyn,Bronx,40.85811,-73.90675,101.0,20.0,117.0,POINT (-73.90675 40.85811)
511,25554233693,Alford,Bronx,40.86466,-73.85709,73.0,15.0,271.0,POINT (-73.85709 40.86466)
558,76341955125,Sydney,Bronx,40.82802,-73.92039,581.0,116.0,258.0,POINT (-73.92039 40.82802)
611,29241866652,Frederick,Bronx,40.83001,-73.92158,361.0,72.0,235.0,POINT (-73.92158000000001 40.83001)
646,25123739690,Davis,Bronx,40.8679,-73.90023,640.0,128.0,108.0,POINT (-73.90022999999999 40.8679)
738,58258680630,Howard,Bronx,40.89557,-73.8447,756.0,151.0,15.0,POINT (-73.8447 40.89557)
967,12400458941,West,Bronx,40.87991,-73.91673,344.0,69.0,47.0,POINT (-73.91673 40.87991)
1061,8106143280,Danielle,Bronx,40.81128,-73.92399,231.0,46.0,23.0,POINT (-73.92399 40.81128)
1070,504781622,Karen,Bronx,40.81611,-73.89909,719.0,144.0,82.0,POINT (-73.89909 40.81611)
1168,39562464038,Ellen,Bronx,40.8687,-73.8524,100.0,20.0,2.0,POINT (-73.8524 40.8687)
1194,12772551249,Jose And Ysaira,Bronx,40.84937,-73.91328,735.0,147.0,190.0,POINT (-73.91328 40.84937)
1229,51030747406,Chris,Bronx,40.82822,-73.92439,665.0,133.0,119.0,POINT (-73.92439 40.82822)
1579,62351131714,Enrique,Bronx,40.85956,-73.87067,1161.0,232.0,169.0,POINT (-73.87067 40.85956)
1667,77129391486,Enrique,Bronx,40.8584,-73.86969,544.0,109.0,189.0,POINT (-73.86969000000001 40.8584)
1707,51589747151,Enrique,Bronx,40.85914,-73.86979,958.0,192.0,187.0,POINT (-73.86978999999999 40.85914)
1725,80172007637,Libertad,Bronx,40.80461,-73.92276,516.0,103.0,86.0,POINT (-73.92276 40.80461)
